file_name,f0_mean,f0_sd,f0_max,f0_min,f0_range,f0_delta_mean,f0_delta_sd,spectral_tilt_mean,spectral_tilt_sd,syllable_duration_mean,syllable_duration_sd
xtts_denoised_concat_41_GILES_2.wav,0.3665773890201609,0.26369114570559316,0.43693001456722524,0.44289599930828905,0.4023357437064131,0.3829173363980909,0.33478347897709165,0.5403075471402683,0.3021162676312892,0.42426920926269174,0.3180835989058102
xtts_denoised_concat_41_GILES_3.wav,0.3578513635573206,0.24070910696627917,0.3715345343116283,0.49705828373141125,0.3222479362190339,0.4023163923085235,0.2944714020176539,0.4065674148070113,0.1968613628990863,0.21607175695994385,0.247568751490783
xtts_denoised_concat_41_GILES_4.wav,0.3577890874843146,0.2929487551288123,0.4727599721944,0.46859550505306746,0.42966828196344997,0.416640633760063,0.31726934702012105,0.545745282307472,0.29988755310620263,0.4563041296914311,0.21670046230584922
xtts_denoised_concat_41_GILES_5.wav,0.31285595233683505,0.22857778216286673,0.358914828237594,0.37712853960453363,0.3457540811305614,0.4436043949340764,0.3180430738909013,0.5137375957371941,0.233518845459181,0.46507557912983033,0.32215382328094494
xtts_denoised_concat_41_GILES_6.wav,0.34385015877155634,0.2885087434324904,0.42888968815513695,0.44807781643212663,0.39293048689988674,0.39371483687052666,0.3217278966480309,0.31415684575749836,0.39383548768137144,0.2495371036130808,0.2676141281878139
xtts_denoised_concat_41_GILES_7.wav,0.3460929222738811,0.23172956304515235,0.3997555435843333,0.4873316944555781,0.35273134291297925,0.3765675641408707,0.29139190237597024,0.48638843996952463,0.21723876949086063,0.47821574886202434,0.2657333489480738
xtts_denoised_concat_41_GILES_8.wav,0.3548361056799496,0.29440844448838926,0.39233632751209435,0.4349553557206043,0.36113274204297074,0.45076029289537606,0.36712274082221,0.4868261635716067,0.35918548695650365,0.3546743471838373,0.20646391202534037
xtts_denoised_concat_41_GILES_9.wav,0.34966819305499475,0.2505189066361221,0.39912694216805367,0.437475581804216,0.3670152608090719,0.4265340387323505,0.3204820382950361,0.4365699509257581,0.3108400526985027,0.42058992855831134,0.23352477671857103
xtts_denoised_concat_42_GILES_1.wav,0.41111165369107994,0.12478741078819866,0.3145504483764521,0.5178721485188407,0.26034482309290263,0.44822559956741964,0.15343987913974888,0.8483115675614057,0.18023043774558856,0.20248030386646787,0.08008347975107194
xtts_denoised_concat_42_GILES_10.wav,0.3482806317340663,0.12246087875103268,0.258822254394834,0.5390160322736162,0.19957031923977017,0.45897010695405227,0.19352326050634594,0.6420663935365789,0.17599984848882544,0.5437780501023574,0.36537685495824573
