file_name,f0_mean,f0_sd,f0_max,f0_min,f0_range,f0_delta_mean,f0_delta_sd,spectral_tilt_mean,spectral_tilt_sd,syllable_duration_mean,syllable_duration_sd
denoised_concat_38.wav,245.81939235621863,79.75276667700226,380.13799071752914,161.09580691320204,219.0421838043271,0.026791229931123463,5.291021813438693,-0.003082578609675171,0.0013319038723965705,0.27163709677419356,0.11452477522831593
denoised_concat_39.wav,274.7305241392859,91.00314120408528,456.77599475232586,168.6836743463121,288.09232040601376,0.11813311600869399,4.569931959604505,-0.0028410042064205554,0.0013436112803657503,0.32446938775510203,0.19654532826688836
denoised_concat_4.wav,238.6884669000171,79.40039729195955,408.3170510211186,159.23298777666793,249.08406324445065,0.09249641776884868,4.241162849857383,-0.0045901237410081635,0.0017632101500090725,0.2637165354330709,0.10933651981693622
denoised_concat_40.wav,274.7090523344131,90.22345366635781,444.3611675037677,165.58835197784958,278.77281552591813,0.030657022501262624,4.041180700868684,-0.0024047822381440096,0.0010584198498364405,0.32097916666666665,0.16852836582522004
denoised_concat_41.wav,242.59220844217472,79.88454780009698,401.4334639201702,163.4338809204016,237.9995829997686,-0.017915922551277177,4.52319029866617,-0.0027776234576528088,0.001055697790526282,0.374,0.20260399736144277
denoised_concat_42.wav,216.42060783159846,49.49750920249458,299.0218990863917,164.71232636590028,134.30957272049145,-0.023830361904734833,2.510533246966881,-0.002457522343640484,0.0010219313071401302,0.3827608695652174,0.2283070214303546
denoised_concat_43.wav,212.04085995783436,67.5081631370945,320.9944194907449,137.34643444010533,183.6479850506396,0.08105415435558219,5.204030682894452,-0.0026760767597937734,0.001252126581654036,0.33055789473684216,0.18419068032591931
denoised_concat_44.wav,254.25329430353554,65.84094603794837,367.9618342354555,170.72936632713234,197.23246790832317,-0.06511053440858888,4.3416068215926655,-0.002894835692560428,0.0011964787563339002,0.2804479999999999,0.14966389527333293
denoised_concat_45.wav,252.64280444077056,68.44984045136694,361.97000897661,179.53037459100668,182.43963438560334,-0.04367001735026352,3.898976746042081,-0.0028171037069909402,0.001242267350617765,0.2923596491228071,0.1793881502382292
denoised_concat_46.wav,305.9934859223442,90.27463733546033,435.6872507704932,186.05408513021902,249.6331656402742,0.2852003377741615,4.903538836334172,-0.0027022265049258367,0.0012018166869749666,0.30012280701754385,0.17018548654106516
denoised_concat_47.wav,262.6902316833207,76.21657510282067,392.8383203454017,170.28052749920468,222.55779284619703,0.030300916582156324,3.569563706414821,-0.003151530164555431,0.001284024365856583,0.34678494623655903,0.2102406410811794
denoised_concat_48.wav,236.24139147135415,62.70964902091606,332.0953421992854,161.71827359106314,170.3770686082223,-0.048848135875712545,3.01777072931349,-0.002223533538676819,0.0010879992828933523,0.3298384615384615,0.18684192231830415
denoised_concat_49.wav,238.26353488827934,93.44454638364654,500.9151827360926,166.08451500227832,334.83066773381427,0.31074913195367415,6.298020577569443,-0.00333989443130016,0.001383984598416006,0.3241142857142857,0.16355076336661406
denoised_concat_5.wav,218.52360028848523,71.90243632000926,350.2094454686569,159.61345247887064,190.59599298978625,-0.06909264775741465,5.053715041725455,-0.004873771694722327,0.0018358409086342868,0.33291666666666664,0.1752647196746021
denoised_concat_50.wav,242.72897662268295,58.15368472205995,336.80183489685646,167.93447208191785,168.86736281493862,-0.13358231164839993,3.6500480642690922,-0.00253569892134189,0.000980389785675352,0.34327659574468095,0.1474643317001448
denoised_concat_6.wav,204.57650178756919,42.74546877114814,272.40353739332124,169.58810308453127,102.81543430878997,-0.034348342176978214,2.6372572801185674,-0.003323057125116946,0.0014297624417773066,0.3339278350515464,0.1638662594556075
denoised_concat_7.wav,230.14749550068598,56.09775917529306,326.76820053690636,171.79821415853357,154.9699863783728,0.0013831830756230927,3.968407805441022,-0.0024973284349354935,0.001339263144528066,0.2815434782608696,0.13946750240550498
denoised_concat_8.wav,216.00707489465898,51.28017452264394,318.76875949505825,164.4741951649432,154.29456433011504,0.03999966776072115,2.482979825656921,-0.0008169608526189538,0.0004984153724690436,0.345607843137255,0.15765460159228709
denoised_concat_9.wav,225.3193534066969,44.40758847096086,306.9853906795295,165.99279680695176,140.99259387257771,0.006949521301926544,2.3081405315540957,-0.0013376550165101826,0.0010904286044281701,0.3471326530612245,0.1448775265031545
enhanced_concat_1.wav,233.45895284258611,49.27716765751043,310.7003263307044,174.83009560010663,135.87023073059777,-0.03636831018516066,3.6043838876829692,-0.0031552326429738244,0.001512584985165221,0.2889724770642202,0.16078191225864966
enhanced_concat_10.wav,228.1305371822591,44.57092351576967,302.13945399304157,172.15182030097856,129.987633692063,-0.045757200707328465,2.8455962726989736,-0.0028464326080318665,0.001133989084185815,0.246296,0.13222732283165153
enhanced_concat_11.wav,212.15623151212162,53.18658572122764,299.92049769295573,156.6713280452677,143.24916964768803,-0.06807512972627285,3.257080477745371,-0.0026522127492907667,0.0012152672995694193,0.26861818181818187,0.15821051947872541
enhanced_concat_12.wav,216.01162121361315,56.67881062081446,328.3622413313963,157.8011336925724,170.56110763882393,-0.08486109044404634,3.686706337694901,-0.002684070793426691,0.0011459278942229513,0.2769824561403509,0.13505128376661749
enhanced_concat_13.wav,218.2801480025908,68.72901209592665,352.8912734870356,155.93246925923617,196.95880422779945,-0.03182003629672849,4.128567770878207,-0.0026194283467941984,0.0011229124612573476,0.2621391304347826,0.12083408132544202
enhanced_concat_14.wav,194.98916334601054,40.81698224014569,253.01611358641395,150.78919983570617,102.22691375070778,0.04144777099140031,2.7522691346490378,-0.002510626209528924,0.0011230374206841602,0.28063414634146344,0.14289278729360616
enhanced_concat_15.wav,219.73531623362385,55.263095088972044,310.7153589546165,148.48761292563927,162.2277460289772,0.009658852509242161,2.8660723580014533,-0.0024782224542582517,0.0010344807288010785,0.3059009009009009,0.18521682404217996
enhanced_concat_16.wav,224.01951065009158,51.965203499103175,296.9582256360515,166.2612134405456,130.69701219550592,-0.016493971098692002,2.9360183909777193,-0.002675116838008073,0.0010536821834712434,0.3576813186813187,0.1700678217078822
enhanced_concat_17.wav,247.86424904945318,70.35168617534939,391.84771212871584,170.57182388673263,221.2758882419832,0.0943617086523482,4.4573220578139585,-0.002611137470906709,0.0011876118549159714,0.2919911504424779,0.1771971004869608
